 id,voted_up,playtime_forever,lang,is_zero_playtime,is_outlier_len,voted_up_str,Complete english only reviews
1,TRUE,73116,en,FALSE,FALSE,Positive,"10/10 But don't recommend hanging out with the villagers, they started calling me names in Italian then didn't invite me to Bingo."
2,TRUE,27267,en,FALSE,FALSE,Positive,"best game i've ever played. if you're debating buying it, buy it."
3,TRUE,25864,en,FALSE,FALSE,Positive,"I think this is the best RE game, everything about it is an improvement on the OG re4, and the sounds they use are so visceral and impactful. Ashley is cool and she is fun to have around and the small interactions in battles and exploration is always fun to watch. The game feels very much like a ""struggle to survive"" that I love with RE4 and RE8. Leon is amazingly written and there is added depth in his character. Luis went from forgetable side character in re4 (2006) to a personal favourite character in the game, and his ending was very emotional. Ada is also done very well. I never understood the hate for her VA I really like how laid back and natural she sounds in this game, and her outfit redesign is very well done and fits the fact that its winter. The Combat is killer and a huge step up from any other RE game we have gotten and mercenaries is really fun and I find myself booting the game up to just enjoy mercenaries for a few hours. Truly a masterpiece of a Remake and a game, cant glaze this enough"
4,TRUE,22016,en,FALSE,FALSE,Positive,"2026/03/01Still is, and probably will be the best RE game in 10 years.Went play some other games(e.q. ReqRealized the level of refined details in RE4 gameplay"
5,TRUE,21435,en,FALSE,FALSE,Positive,So i dont know what my problem is but i came back to this game this year and like i just  love it i will not stop till i get ashly home and i get to date ADA
7,TRUE,17642,en,FALSE,FALSE,Positive,Best of the best RE ever play
8,TRUE,17549,en,FALSE,FALSE,Positive,the best game i ever played
9,TRUE,16272,en,FALSE,FALSE,Positive,"Not only will you need cash, but you'll need guts to 100% this game. ( )"
10,TRUE,13892,en,FALSE,FALSE,Positive,So nostalgic even the gameplay and story little bit different
11,TRUE,13609,en,FALSE,FALSE,Positive,best game I have ever played. Never got bored of replaying this over 20 times. 12/10
12,TRUE,13601,en,FALSE,FALSE,Positive,Great remake of a great game
13,TRUE,13566,en,FALSE,FALSE,Positive,Leon Sexy Kennedy
14,TRUE,13400,en,FALSE,FALSE,Positive,Peak. GOTY. It's just....so dam good. You MUST play this game. You simply must.
15,TRUE,13332,en,FALSE,FALSE,Positive,"Realizing I never left a review on this even though it's my favorite RE game of all time is craaazy. If you haven't played it by now, it's a great time to pick it up if you're coming off of Requiem and need more Leon :> It does the OG RE4 so much justice, and Mercenaries mode in this is endlessly addicting. The graphics are beautiful, the story is awesome, and the combat is fantastic. Capcom hit the nail on the head with this remake, 10/10"
16,TRUE,12643,en,FALSE,FALSE,Positive,its a really good game like danm tho i wanna put this in the minds of those who say leon has a babyface i get it dont get me wrong lol but its not one of those games if everyones looking at leons face or his hair we got a very big problem here
18,TRUE,11749,en,FALSE,FALSE,Positive,10/10 would buy again and recommend to every resident evil fan!
19,TRUE,11669,en,FALSE,FALSE,Positive,"The best possible way to remake a game, beside RE 2 Remake of course. No, RE 3 Remake. Not you"
20,TRUE,11203,en,FALSE,FALSE,Positive,"this game is filled with love. its a remake, but its almost a completely different game. the game runs amazing, looks amazing and is really easy to modmy only hitch with this game is that the scope is really weird for FPS because of how it works, and in the DLC i had an area or two where not only would i have poor framerates, i had some places where i would use every resource i had and owned, plenty of ammo and grenades for a boss, and used everything i had to the point of breaking my knife on el gigante's heels, reaching a state of being forced to respawn and buy another gun for the ammo adfnlmkasndfjh"
21,TRUE,10896,en,FALSE,FALSE,Positive,Great game. High replayability.
22,TRUE,10251,en,FALSE,FALSE,Positive,"Manages to recreate every element that made the original great, but executes them in a fresh way."
23,TRUE,10196,en,FALSE,FALSE,Positive,great game 2005 version was peak but this one is right behind it.
24,TRUE,10113,en,FALSE,FALSE,Positive,Honestly i'm so glad that the DRM denuvo or enigma got removed and the game runs like a dream even with amd fsr 2.1 the best one is inside the castellan area got massive framerate and docks too when i played the mercenaries mode using automatic sniper rifle i don't have any problem with framedrops mostly 94 fps or sometimes 100fps when i use prioritized graphics and amd fsr 2.1 using quality settings its really good fps without sacrificing the fps
25,TRUE,10065,en,FALSE,FALSE,Positive,"The game is a great remake, it deserves the positive praise it gets. Like the original, the game is very long, and has a 10 dollar DLC which is also very long. Things I do not like:-DLC that gives you extra weapons, treasures, and free upgrades.-Adaptive difficulty with RNG drops. -Only weapons/parts and First Aid sprays can go in storage.-Difficulty seems to be more balanced around lower difficulties. Hardcore and Pro are frustrating in a not fun way.-Combo grabs, stuns, animations where I have no idea what my character is doing but they will not aim or shoot.-The flashlight is not controlled by the player and is often turned on long after I need it.-Mercenaries scoring is weird.I like pretty much everything else.Overall the game is very frustrating. But for an average player, not going for all the achievements, it will be a good time."
26,TRUE,10033,en,FALSE,FALSE,Positive,Very Good Game!
27,TRUE,9836,en,FALSE,FALSE,Positive,"As a OG player on PS2, i cant ask for anything better then this.Well done CAPCOM, i will wait until the moment punching boulder comeback again."
28,TRUE,9397,en,FALSE,FALSE,Positive,Follows the trend of great Resident Evil remakes. All of these are solid updates that create a new experience while capturing the feeling of the originals.
29,TRUE,8896,en,FALSE,FALSE,Positive,Leons roundhouse kicks got me addicted to this game
30,TRUE,8844,en,FALSE,FALSE,Positive,PEAK. trust me bro!
31,TRUE,8656,en,FALSE,FALSE,Positive,best game of the franchise
32,TRUE,8647,en,FALSE,FALSE,Positive,i have waking nightmares of armor less ashley 10/10 would recommend
33,TRUE,8640,en,FALSE,FALSE,Positive,ts so  peak
34,TRUE,8622,en,FALSE,FALSE,Positive,"just did 100% completion in achievements. definitely one of, if not, the best games i've ever played 10/10 asf"
