 id,Complete english only reviews,voted_up,playtime_forever,lang,is_zero_playtime,is_outlier_len,voted_up_str,Sentiment_Label,Confidence_Score,model_agrees
1,"10/10 But don't recommend hanging out with the villagers, they started calling me names in Italian then didn't invite me to Bingo.",TRUE,73116,en,FALSE,FALSE,Positive,Negative,0.9955,FALSE
2,"best game i've ever played. if you're debating buying it, buy it.",TRUE,27267,en,FALSE,FALSE,Positive,Positive,0.9997,TRUE
3,"I think this is the best RE game, everything about it is an improvement on the OG re4, and the sounds they use are so visceral and impactful. Ashley is cool and she is fun to have around and the small interactions in battles and exploration is always fun to watch. The game feels very much like a ""struggle to survive"" that I love with RE4 and RE8. Leon is amazingly written and there is added depth in his character. Luis went from forgetable side character in re4 (2006) to a personal favourite character in the game, and his ending was very emotional. Ada is also done very well. I never understood the hate for her VA I really like how laid back and natural she sounds in this game, and her outfit redesign is very well done and fits the fact that its winter. The Combat is killer and a huge step up from any other RE game we have gotten and mercenaries is really fun and I find myself booting the game up to just enjoy mercenaries for a few hours. Truly a masterpiece of a Remake and a game, cant glaze this enough",TRUE,25864,en,FALSE,FALSE,Positive,Positive,0.9997,TRUE
4,"2026/03/01Still is, and probably will be the best RE game in 10 years.Went play some other games(e.q. ReqRealized the level of refined details in RE4 gameplay",TRUE,22016,en,FALSE,FALSE,Positive,Positive,0.9997,TRUE
5,So i dont know what my problem is but i came back to this game this year and like i just  love it i will not stop till i get ashly home and i get to date ADA,TRUE,21435,en,FALSE,FALSE,Positive,Positive,0.9998,TRUE
7,Best of the best RE ever play,TRUE,17642,en,FALSE,FALSE,Positive,Positive,0.9998,TRUE
8,the best game i ever played,TRUE,17549,en,FALSE,FALSE,Positive,Positive,0.9999,TRUE
9,"Not only will you need cash, but you'll need guts to 100% this game. ( )",TRUE,16272,en,FALSE,FALSE,Positive,Negative,0.856,FALSE
10,So nostalgic even the gameplay and story little bit different,TRUE,13892,en,FALSE,FALSE,Positive,Positive,0.9633,TRUE
11,best game I have ever played. Never got bored of replaying this over 20 times. 12/10,TRUE,13609,en,FALSE,FALSE,Positive,Positive,0.9973,TRUE
12,Great remake of a great game,TRUE,13601,en,FALSE,FALSE,Positive,Positive,0.9996,TRUE
13,Leon Sexy Kennedy,TRUE,13566,en,FALSE,FALSE,Positive,Positive,0.9774,TRUE
14,Peak. GOTY. It's just....so dam good. You MUST play this game. You simply must.,TRUE,13400,en,FALSE,FALSE,Positive,Positive,0.9996,TRUE
15,"Realizing I never left a review on this even though it's my favorite RE game of all time is craaazy. If you haven't played it by now, it's a great time to pick it up if you're coming off of Requiem and need more Leon :> It does the OG RE4 so much justice, and Mercenaries mode in this is endlessly addicting. The graphics are beautiful, the story is awesome, and the combat is fantastic. Capcom hit the nail on the head with this remake, 10/10",TRUE,13332,en,FALSE,FALSE,Positive,Positive,0.9998,TRUE
16,its a really good game like danm tho i wanna put this in the minds of those who say leon has a babyface i get it dont get me wrong lol but its not one of those games if everyones looking at leons face or his hair we got a very big problem here,TRUE,12643,en,FALSE,FALSE,Positive,Negative,0.6366,FALSE
18,10/10 would buy again and recommend to every resident evil fan!,TRUE,11749,en,FALSE,FALSE,Positive,Positive,0.9996,TRUE
19,"The best possible way to remake a game, beside RE 2 Remake of course. No, RE 3 Remake. Not you",TRUE,11669,en,FALSE,FALSE,Positive,Negative,0.9981,FALSE
20,"this game is filled with love. its a remake, but its almost a completely different game. the game runs amazing, looks amazing and is really easy to modmy only hitch with this game is that the scope is really weird for FPS because of how it works, and in the DLC i had an area or two where not only would i have poor framerates, i had some places where i would use every resource i had and owned, plenty of ammo and grenades for a boss, and used everything i had to the point of breaking my knife on el gigante's heels, reaching a state of being forced to respawn and buy another gun for the ammo adfnlmkasndfjh",TRUE,11203,en,FALSE,FALSE,Positive,Positive,0.7102,TRUE
21,Great game. High replayability.,TRUE,10896,en,FALSE,FALSE,Positive,Positive,0.9999,TRUE
22,"Manages to recreate every element that made the original great, but executes them in a fresh way.",TRUE,10251,en,FALSE,FALSE,Positive,Positive,0.9998,TRUE
23,great game 2005 version was peak but this one is right behind it.,TRUE,10196,en,FALSE,FALSE,Positive,Positive,0.9979,TRUE
24,Honestly i'm so glad that the DRM denuvo or enigma got removed and the game runs like a dream even with amd fsr 2.1 the best one is inside the castellan area got massive framerate and docks too when i played the mercenaries mode using automatic sniper rifle i don't have any problem with framedrops mostly 94 fps or sometimes 100fps when i use prioritized graphics and amd fsr 2.1 using quality settings its really good fps without sacrificing the fps,TRUE,10113,en,FALSE,FALSE,Positive,Positive,0.9619,TRUE
25,"The game is a great remake, it deserves the positive praise it gets. Like the original, the game is very long, and has a 10 dollar DLC which is also very long. Things I do not like:-DLC that gives you extra weapons, treasures, and free upgrades.-Adaptive difficulty with RNG drops. -Only weapons/parts and First Aid sprays can go in storage.-Difficulty seems to be more balanced around lower difficulties. Hardcore and Pro are frustrating in a not fun way.-Combo grabs, stuns, animations where I have no idea what my character is doing but they will not aim or shoot.-The flashlight is not controlled by the player and is often turned on long after I need it.-Mercenaries scoring is weird.I like pretty much everything else.Overall the game is very frustrating. But for an average player, not going for all the achievements, it will be a good time.",TRUE,10065,en,FALSE,FALSE,Positive,Positive,0.9804,TRUE
26,Very Good Game!,TRUE,10033,en,FALSE,FALSE,Positive,Positive,0.9999,TRUE
27,"As a OG player on PS2, i cant ask for anything better then this.Well done CAPCOM, i will wait until the moment punching boulder comeback again.",TRUE,9836,en,FALSE,FALSE,Positive,Negative,0.959,FALSE
28,Follows the trend of great Resident Evil remakes. All of these are solid updates that create a new experience while capturing the feeling of the originals.,TRUE,9397,en,FALSE,FALSE,Positive,Positive,0.9999,TRUE
29,Leons roundhouse kicks got me addicted to this game,TRUE,8896,en,FALSE,FALSE,Positive,Positive,0.9962,TRUE
30,PEAK. trust me bro!,TRUE,8844,en,FALSE,FALSE,Positive,Positive,0.9996,TRUE
31,best game of the franchise,TRUE,8656,en,FALSE,FALSE,Positive,Positive,0.9998,TRUE
32,i have waking nightmares of armor less ashley 10/10 would recommend,TRUE,8647,en,FALSE,FALSE,Positive,Negative,0.9808,FALSE
33,ts so  peak,TRUE,8640,en,FALSE,FALSE,Positive,Positive,0.9901,TRUE
34,"just did 100% completion in achievements. definitely one of, if not, the best games i've ever played 10/10 asf",TRUE,8622,en,FALSE,FALSE,Positive,Positive,0.9997,TRUE
35,I think in September 30th 1998 the cop inside him died that day,TRUE,8558,en,FALSE,FALSE,Positive,Negative,0.9948,FALSE
36,"Best Resident Evil Remake so far, looking forward to 5th one.",TRUE,8494,en,FALSE,FALSE,Positive,Positive,0.9997,TRUE
37,"For me second best Remake of RE i have ever played, and i could say that's my Favorite i recommend everyone to play this Masterpiece!",TRUE,8369,en,FALSE,FALSE,Positive,Positive,0.9998,TRUE
38,I think it's neat.,TRUE,8327,en,FALSE,FALSE,Positive,Positive,0.9998,TRUE
39,"""why drm on SINGLEPLAYER GAME"" singleplayer games are the primary target for piracy you  idiot, out of the billions of sperm cells your dad shot in your mom, somehow the one that cannot figure out the function of drm won the race.Either way it's gone now.",TRUE,8223,en,FALSE,FALSE,Positive,Negative,0.9997,FALSE
40,Best Re game ever no thought worth every penny,TRUE,8213,en,FALSE,FALSE,Positive,Positive,0.9957,TRUE
41,"pretty good remake of a classic, feels familiar while still changing things up, there are some removal/moving of content but the whole package still feels complete.",TRUE,8198,en,FALSE,FALSE,Positive,Positive,0.9996,TRUE
42,Now that I have finally played this game since a few ago and then finishing the original numerous times. I can confidently say that this game is the best remake of all time! Even after 3 years of its relase loll,TRUE,8161,en,FALSE,FALSE,Positive,Positive,0.9996,TRUE
43,"While the original RE4 is still a fantastic game on its own and will always hold a special place in my heart (please play it!), RE4R is to me just as much of a masterpiece. Between the gorgeous visuals and phenomenal sound design, the world feels so alive. Many of the ideas of the original are further expanded in fun (and sometimes terrifying) ways. Many character interactions are further explored and very charmingly. And for those who have played the original, I can't tell you how great it is to see familiar rooms making their returns. Nothing is a lazy 1:1 copy, but rather each pays unmistakable homage while providing its own distinct experience.Between that, all of the challenges, unlockables, and game modes [spoiler](and my boy Luis being playable for the first time in Mercenaries!!)[/spoiler], this game is forever in my rotation.HIGHLY recommended",TRUE,8075,en,FALSE,FALSE,Positive,Positive,0.9998,TRUE
44,Excellent RE4 original was a favorite of my childhood and this did it complete service by adding/tweaking things that I would not notice till 2 or 3 ng's. This and RE2 remake are really the direction I hope they keep going.,TRUE,8024,en,FALSE,FALSE,Positive,Positive,0.9996,TRUE
46,"""GET THAT WHITE BOY""",TRUE,7994,en,FALSE,FALSE,Positive,Negative,0.9238,FALSE
47,it is very resident evilish!!!!,TRUE,7929,en,FALSE,FALSE,Positive,Positive,0.5552,TRUE
48,"played the original RE4 for the first time ever about a month before i went through this game and its ALMOST perfect. the only thing that was worse IMO was the ambience of the game.the original had living, breathing audio in every location of the game and gave you some feeling of unease when you thought you could just sit still and rest. this remake treats everything with straight silence which i totally understand can be another way to make the player feel fear, but in this game its assured peace which considering all the context of this game [like leon being infected] youd want to keep the player on edge to keep them moving forward.its the single mistake this game has made, everything else is literally perfect. buy this game.",TRUE,7854,en,FALSE,FALSE,Positive,Positive,0.9768,TRUE
49,one of the best games ever made,TRUE,7741,en,FALSE,FALSE,Positive,Positive,0.9999,TRUE
50,the residents were kinda evil,TRUE,7623,en,FALSE,FALSE,Positive,Negative,0.9984,FALSE
51,i play game and game and i plahy it,TRUE,7536,en,FALSE,FALSE,Positive,Negative,0.9827,FALSE
52,"Good game but flawed. After playing for a while you will get anoyed at every enemy being a tank, that the player movement is slow as hell and parries being cancelled or not registering because you didn't look enough towards the attack. Better as a casual(play only once) experience.",TRUE,7440,en,FALSE,FALSE,Positive,Negative,0.9965,FALSE
53,How to get S+ on professional mode- Doing a speedrun- LEONNNN HELPPPPP !!!!!!!!!- Fail- Repeat the speedrun- LEONNNNN HELPPPPPPPPP !!!!!!!- Fail again- Repeat until Krauser kick your ass100/Nostalgia,TRUE,7400,en,FALSE,FALSE,Positive,Negative,0.9995,FALSE
54,"One of the Best, if you played the OG RE4 then this is a must-experience. Try to get that Professional S+ run, but beat it on Hardcore A+ rank first for the Ashley Medieval armor before you try =)",TRUE,7376,en,FALSE,FALSE,Positive,Positive,0.9922,TRUE
55,Awesome GameplayAwesome GraphicsOK. storyHigh ReplayabilityA lot of things locked behind dlcsFinal score: A,TRUE,7273,en,FALSE,FALSE,Positive,Positive,0.9985,TRUE
56,The residents are evil even in Spain,TRUE,7250,en,FALSE,FALSE,Positive,Negative,0.995,FALSE
57,10/10Best in the franchise meets the modern era.,TRUE,7227,en,FALSE,FALSE,Positive,Positive,0.5006,TRUE
58,i like the part where he kicks them,TRUE,7190,en,FALSE,FALSE,Positive,Positive,0.9925,TRUE
59,The best game in the series,TRUE,7138,en,FALSE,FALSE,Positive,Positive,0.9998,TRUE
60,"Big up LEON 'S Tier' KENNEDY, Capcom are BiS",TRUE,7131,en,FALSE,FALSE,Positive,Positive,0.933,TRUE
61,The Residents are evil for the 4th time. Amazing,TRUE,7116,en,FALSE,FALSE,Positive,Positive,0.9987,TRUE
62,the og 2005 version of this game is the one of the main reasons for my love of videogames and i can proudly and happily say that this game captures it what everygame should be i know that nothing is perfect but my god i cant lie this got pretty close,TRUE,6946,en,FALSE,FALSE,Positive,Positive,0.9997,TRUE
63,"Normaly Im on the side of Remake Culture that tends towards the originals over Remakes, however in my opinion RE4R eclipses its original in almost every way.While i liked OG RE4 i couldnt help to feel that the pacing was abysmal and overstated its welcome massively I expected the Island to be a final set-piece rather than an entire third of the Game. I played it twice and dont feel like going back to it ever again.I played this game for almost 200hrs over PC and Console.RE4R manages to keep its pacing just right, cutting certain sections of the game and adding them back into Separate Ways also fixes the problem of that side to not just run through the main games areas again.I love the new Gameplay, adding the Knife Parry was one of the best additions to be made.If I had to critique something than it would be that Salazar is an absolute downgrade over his OG both in Design and Story. Also Aim Blooming, why this is the wrong game. I can understand the thought process on 2R and 3R but here????I played so much Mercs despite me usually not being too much into the mode. (It also makes getting the Steam Achievement completion much easier if youre struggling. THX for that Capcom.) There is something to be said about the REmakes dodging core ideas of their originals identity. RE2R dropping the zapping System, RE3R the choices, RE4R makes managing Ashley basically void unless a short interaction on a grab. I know we all famously hate Escort missions but it is also a core part of the OGs identity and a feature not often done. That being said on the other hand a more enjoyable experience come out of that, its something to think about.The overall Meta progression feels great tho it asks maybe for a few too many replays especially considering its length IMO.Also the modding support for this game while dying down now is great helping with enjoying the many replays of this game.Now Capcom take this style of Game and put Jill in it but instead of Knife Parry you build on the Dodge from 3R thx.",TRUE,6945,en,FALSE,FALSE,Positive,Positive,0.7686,TRUE
64,"My favorite RE game, but I haven't played RE9 yet <3",TRUE,6932,en,FALSE,FALSE,Positive,Negative,0.9908,FALSE
65,"if you have not played this game you are robbing yourself of an amazing opportunity, 100% worth every penny",TRUE,6918,en,FALSE,FALSE,Positive,Positive,0.988,TRUE
66,great game very good combat,TRUE,6910,en,FALSE,FALSE,Positive,Positive,0.9999,TRUE
67,"Very challenging, good graphics awesome gameplay, and story is perfect. 10/10. Replayability is what makes this game better than even requiem.",TRUE,6884,en,FALSE,FALSE,Positive,Positive,0.9998,TRUE
68,The most GOATED RE game of all time for me atleast. Leon is a complete badass throughout the entire game. Must Try.,TRUE,6790,en,FALSE,FALSE,Positive,Negative,0.9979,FALSE
69,trying to 100% the game cuz I'm too broke to buy re9 atm xD,TRUE,6686,en,FALSE,FALSE,Positive,Negative,0.9995,FALSE
70,"Resident Evil at its peak. Combat, movement, story, pacing. Requiem is awesome but this game still clears",TRUE,6654,en,FALSE,FALSE,Positive,Positive,0.9994,TRUE
71,"I must admit, that was rather entertaining, Mr. Kennedy.",TRUE,6604,en,FALSE,FALSE,Positive,Positive,0.9998,TRUE
73,"Good game but not the same master piece as RE4 OG.The most prominent issue would be weak shooting feedback, plus telegraph grabbing, other than that all good.",TRUE,6554,en,FALSE,FALSE,Positive,Negative,0.9866,FALSE
74,Awesome experience to re play the game from PS 2,TRUE,6426,en,FALSE,FALSE,Positive,Positive,0.9998,TRUE
75,"It's re4, what else is there to say?",TRUE,6420,en,FALSE,FALSE,Positive,Negative,0.9985,FALSE
76,"[h1] Good But Still Overrated [/h1][u] 7/10 [/u]RE4R is an incredibly faithful Remake. It practically does nothing but improve upon the original. Better graphics, better performance, better combat. The reason I'm giving it a 7 is because I've never been a huge fan of the original RE4 to begin with. I can't stand Ashley Trashley and I'm tired of saving her 17 times per chapter. Of course, the Remake does not change that. Also, to me personally, the origianal always felt a bit dragged-out. Of course, the Remake does not change that. The spanish village, as a setting, has always been a boring place to explore and have a game take place in, in my opinion, and of course, the Remake does not change that. There are plenty of positive things I could say as well, for example I've always loved the entire concept of The Merchent. I think it was a brilliant idea back in the day, and of course, it's done just as well here in the Remake. At the end of the day, RE4R is an incredibly faithful Remake, however, faithfully Remaking a 7/10 game does not magically make it a 10/10 in my eyes, as the problems I had with the original are all still here. I can say / write the exact same review for the Seperate Ways 'Story Expansion'.",TRUE,6377,en,FALSE,FALSE,Positive,Positive,0.9746,TRUE
77,very good and fun,TRUE,6377,en,FALSE,FALSE,Positive,Positive,0.9999,TRUE
78,"RE larpers talk about ada physics, a real RE fan talks of regenerador physics.",TRUE,6302,en,FALSE,FALSE,Positive,Positive,0.9418,TRUE
79,the best resident evil gamebetter than requiem for surethe replayability value hits the sky and maybe beats the OG,TRUE,6287,en,FALSE,FALSE,Positive,Positive,0.9995,TRUE
80,Worth every penny.,TRUE,6260,en,FALSE,FALSE,Positive,Positive,0.9997,TRUE
81,This game proves it is somehow possible to improve on perfection,TRUE,6258,en,FALSE,FALSE,Positive,Positive,0.9956,TRUE
82,84 hours in this game lol,TRUE,6195,en,FALSE,FALSE,Positive,Negative,0.9808,FALSE
83,Top 10 games oat,TRUE,6163,en,FALSE,FALSE,Positive,Positive,0.9969,TRUE
